YR_EST,LAT_DEG,LONG_DEG,ELEV,PostOffice,State,County,DateEstablished,DateDiscontinued,ZipCode
1792,41.6770463,-71.2661597,35,BRISTOL,RI,BRISTOL COUNTY,02/11/1792,,2809
1792,41.4020382,-74.3243191,133,GOSHEN,NY,ORANGE COUNTY,06/08/1792,,10924
1792,40.8617302,-78.7303073,503,BETHLEHEM,PA,NORTHAMPTON COUNTY,06/12/1792,,18016
1792,38.3676263,-76.7830228,3,CHAPTICO,MD,SAINT MARYS COUNTY,06/12/1792,,20621
1792,41.1272847,-79.5408798,347,EASTON,PA,NORTHAMPTON COUNTY,06/12/1792,,18045
1792,39.0090017,-75.4657542,5,FREDERICA,DE,KENT COUNTY,06/12/1792,,19946
1792,42.6159286,-70.6619888,16,GLOUCESTER,MA,ESSEX COUNTY,06/12/1792,,1930
1792,42.2528649,-73.790959,25,HUDSON,NY,COLUMBIA COUNTY,06/12/1792,,12534
1792,38.0295744,-76.580789,13,KINSALE,VA,WESTMORELAND COUNTY,06/12/1792,,22488
1792,40.3409251,-76.4113497,143,LEBANON,PA,LEBANON COUNTY,06/12/1792,,17042
1792,43.1636875,-73.0723269,269,MANCHESTER,VT,BENNINGTON COUNTY,06/12/1792,,5254
1792,38.0951317,-76.8274644,44,MONTROSS,VA,WESTMORELAND COUNTY,06/12/1792,,22520
1792,41.2834563,-70.0994605,13,NANTUCKET,MA,NANTUCKET COUNTY,06/12/1792,,2554
1792,41.6362152,-70.934205,29,NEW BEDFORD,MA,BRISTOL COUNTY,06/12/1792,,2748
1792,38.5137325,-77.0183082,6,PORT TOBACCO,MD,CHARLES COUNTY,06/12/1792,,20677
1792,40.3356483,-75.9268747,78,READING,PA,BERKS COUNTY,06/12/1792,,19603
1792,40.9012101,-74.5143232,173,ROCKAWAY,NJ,MORRIS COUNTY,06/12/1792,,7866
1792,43.6106237,-72.9726065,197,RUTLAND,VT,RUTLAND COUNTY,06/12/1792,,5701
1792,35.6709727,-80.4742261,234,SALISBURY,NC,ROWAN COUNTY,06/12/1792,,28144
1792,38.3606736,-75.5993692,7,SALISBURY,MD,WICOMICO COUNTY,06/12/1792,,21801
1792,37.9254135,-76.8591301,7,TAPPAHANNOCK,VA,ESSEX COUNTY,06/12/1792,,22560
1792,41.900101,-71.0897675,5,TAUNTON,MA,BRISTOL COUNTY,06/12/1792,,2780
1792,37.6376402,-76.5743976,6,URBANNA,VA,MIDDLESEX COUNTY,06/12/1792,,23175
1792,44.1672771,-73.2540112,59,VERGENNES,VT,ADDISON COUNTY,06/12/1792,,5491
1792,36.3984804,-78.1552706,118,WARRENTON,NC,WARREN COUNTY,06/12/1792,,27589
1792,43.4803494,-72.3848131,101,WINDSOR,VT,WINDSOR COUNTY,06/12/1792,,5089
1792,39.8381691,-75.1526774,17,WOODBURY,NJ,GLOUCESTER COUNTY,06/12/1792,,8096
1792,39.4562099,-77.9638869,138,MARTINSBURG,WV,BERKELEY COUNTY,06/30/1792,,25401
1792,41.256483,-74.3598755,158,WARWICK,NY,ORANGE COUNTY,06/30/1792,,10990
1792,35.8968236,-77.5358049,13,TARBORO,NC,EDGECOMBE COUNTY,07/18/1792,,27886
1792,37.7698602,-76.4663391,24,LANCASTER,VA,LANCASTER COUNTY,07/23/1792,,22503
